Test suite file,states,inputs,outputs,transitions,Number of All_Mutants,Number of killed All_Mutants OracleOutput,Mutation score All_Mutants OracleOutput,EventSequence_Levenshtein_AverageValue,EventSequence_Levenshtein_SquaredSummation,EventSequence_Levenshtein_Manhattan,EventSequence_Levenshtein_Euclidean,EventSequence_SimpsonDiversity_AverageValue,EventSequence_SimpsonDiversity_SquaredSummation,EventSequence_SimpsonDiversity_Manhattan,EventSequence_SimpsonDiversity_Euclidean,EventSequence_Hamming_AverageValue,EventSequence_Hamming_SquaredSummation,EventSequence_Hamming_Manhattan,EventSequence_Hamming_Euclidean,EventSequence_ShannonIndex,EventSequence_Nei,EventStatePairs_Levenshtein_AverageValue,EventStatePairs_Levenshtein_SquaredSummation,EventStatePairs_Levenshtein_Manhattan,EventStatePairs_Levenshtein_Euclidean,EventStatePairs_SimpsonDiversity_AverageValue,EventStatePairs_SimpsonDiversity_SquaredSummation,EventStatePairs_SimpsonDiversity_Manhattan,EventStatePairs_SimpsonDiversity_Euclidean,EventStatePairs_Hamming_AverageValue,EventStatePairs_Hamming_SquaredSummation,EventStatePairs_Hamming_Manhattan,EventStatePairs_Hamming_Euclidean,EventStatePairs_ShannonIndex,EventStatePairs_Nei,StateSequence_Levenshtein_AverageValue,StateSequence_Levenshtein_SquaredSummation,StateSequence_Levenshtein_Manhattan,StateSequence_Levenshtein_Euclidean,StateSequence_SimpsonDiversity_AverageValue,StateSequence_SimpsonDiversity_SquaredSummation,StateSequence_SimpsonDiversity_Manhattan,StateSequence_SimpsonDiversity_Euclidean,StateSequence_Hamming_AverageValue,StateSequence_Hamming_SquaredSummation,StateSequence_Hamming_Manhattan,StateSequence_Hamming_Euclidean,StateSequence_ShannonIndex,StateSequence_Nei
TR_TestSuite48.txt,10,8,4,80,2738,1824,0.6661797,2.37746,15152,5908,123.09346,0.87234,0.76099,0.87234,0.87234,1.85151,9457,4601,97.24711,2.66079,0.66372,2.4499,15994,6088,126.46739,0.88792,0.7884,0.88792,0.88792,1.8664,9584,4638,97.89791,3.1115,0.67229,2.30503,14540,5728,120.58192,0.84229,0.70946,0.84229,0.84229,1.7674,8930,4392,94.49868,2.0925,0.62885
TR_TestSuite696.txt,10,8,4,80,2738,1824,0.6661797,2.3328,14591,5797,120.79321,0.87211,0.76057,0.87211,0.87211,1.81207,8909,4503,94.3875,2.65525,0.654,2.41328,15545,5997,124.67959,0.88529,0.78373,0.88529,0.88529,1.82978,9055,4547,95.15776,3.10011,0.66332,2.26801,14098,5636,118.735,0.83966,0.70503,0.83966,0.83966,1.73078,8401,4301,91.65697,2.07999,0.61982
TR_TestSuite537.txt,10,8,4,80,2738,1824,0.6661797,2.32998,14554,5790,120.63996,0.87211,0.76057,0.87211,0.87211,1.81207,8909,4503,94.3875,2.65525,0.654,2.41328,15545,5997,124.67959,0.88529,0.78373,0.88529,0.88529,1.82978,9055,4547,95.15776,3.10011,0.66332,2.26801,14098,5636,118.735,0.83966,0.70503,0.83966,0.83966,1.73078,8401,4301,91.65697,2.07999,0.61982
TR_TestSuite536.txt,10,8,4,80,2738,1824,0.6661797,2.33239,14586,5796,120.77251,0.87234,0.76099,0.87234,0.87234,1.81489,8930,4510,94.49868,2.66079,0.65476,2.41328,15545,5997,124.67959,0.88529,0.78373,0.88529,0.88529,1.82978,9055,4547,95.15776,3.10011,0.66332,2.26801,14098,5636,118.735,0.83966,0.70503,0.83966,0.83966,1.73078,8401,4301,91.65697,2.07999,0.61982
TR_TestSuite697.txt,10,8,4,80,2738,1824,0.6661797,2.31026,14313,5741,119.63695,0.87019,0.75724,0.87019,0.87019,1.78954,8615,4447,92.81702,2.62735,0.64795,2.41328,15545,5997,124.67959,0.88529,0.78373,0.88529,0.88529,1.82978,9055,4547,95.15776,3.10011,0.66332,2.26801,14098,5636,118.735,0.83966,0.70503,0.83966,0.83966,1.73078,8401,4301,91.65697,2.07999,0.61982
TR_TestSuite520.txt,10,8,4,80,2738,1824,0.6661797,2.39718,15389,5957,124.05241,0.87736,0.76977,0.87736,0.87736,1.85433,9478,4608,97.35502,2.70397,0.66448,2.45272,16031,6095,126.61359,0.88816,0.78882,0.88816,0.88816,1.86922,9605,4645,98.0051,3.11874,0.67304,2.30463,14525,5727,120.51971,0.84229,0.70946,0.84229,0.84229,1.7674,8916,4392,94.42457,2.0925,0.62885
TR_TestSuite680.txt,10,8,4,80,2738,1824,0.6661797,2.39759,15394,5958,124.07256,0.87713,0.76935,0.87713,0.87713,1.85151,9457,4601,97.24711,2.69843,0.66372,2.45272,16031,6095,126.61359,0.88816,0.78882,0.88816,0.88816,1.86922,9605,4645,98.0051,3.11874,0.67304,2.30463,14525,5727,120.51971,0.84229,0.70946,0.84229,0.84229,1.7674,8916,4392,94.42457,2.0925,0.62885
TR_TestSuite1009.txt,10,8,4,80,2738,1824,0.6661797,2.35493,14878,5852,121.97541,0.8745,0.76474,0.8745,0.8745,1.80926,8896,4496,94.31861,2.68722,0.65325,2.41046,15508,5990,124.53112,0.88505,0.78331,0.88505,0.88505,1.82696,9034,4540,95.04736,3.09286,0.66257,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite848.txt,10,8,4,80,2738,1824,0.6661797,2.35654,14894,5856,122.04098,0.87378,0.76349,0.87378,0.87378,1.80926,8896,4496,94.31861,2.67538,0.65325,2.40483,15434,5976,124.23365,0.88457,0.78247,0.88457,0.88457,1.82133,8992,4526,94.82616,3.08008,0.66105,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite1008.txt,10,8,4,80,2738,1824,0.6661797,2.35734,14912,5858,122.1147,0.87474,0.76516,0.87474,0.87474,1.81207,8917,4503,94.42987,2.69276,0.654,2.41046,15508,5990,124.53112,0.88505,0.78331,0.88505,0.88505,1.82696,9034,4540,95.04736,3.09286,0.66257,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite532.txt,10,8,4,80,2738,1824,0.6661797,2.3839,15232,5924,123.41799,0.8745,0.76474,0.8745,0.8745,1.83742,9228,4566,96.06248,2.68722,0.66038,2.433,15788,6046,125.65031,0.88672,0.78628,0.88672,0.88672,1.8495,9330,4596,96.59193,3.10793,0.66818,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
TR_TestSuite692.txt,10,8,4,80,2738,1824,0.6661797,2.38431,15237,5925,123.43824,0.87426,0.76433,0.87426,0.87426,1.83461,9207,4559,95.95311,2.68167,0.65962,2.433,15788,6046,125.65031,0.88672,0.78628,0.88672,0.88672,1.8495,9330,4596,96.59193,3.10793,0.66818,2.28531,14305,5679,119.60351,0.84038,0.70624,0.84038,0.84038,1.74769,8667,4343,93.09672,2.0829,0.62399
TR_TestSuite1012.txt,10,8,4,80,2738,1824,0.6661797,2.36097,14957,5867,122.29881,0.8745,0.76474,0.8745,0.8745,1.81489,8938,4510,94.541,2.68722,0.65476,2.41328,15545,5997,124.67959,0.88529,0.78373,0.88529,0.88529,1.82978,9055,4547,95.15776,3.10011,0.66332,2.26841,14113,5637,118.79815,0.83966,0.70503,0.83966,0.83966,1.73078,8411,4301,91.7115,2.07999,0.61982
TR_TestSuite40.txt,10,8,4,80,2738,1824,0.6661797,2.35493,14876,5852,121.96721,0.87163,0.75973,0.87163,0.87163,1.83179,9186,4552,95.84362,2.65253,0.65886,2.433,15788,6046,125.65031,0.88624,0.78543,0.88624,0.88624,1.8495,9330,4596,96.59193,3.10419,0.66818,2.28491,14286,5678,119.52406,0.84086,0.70704,0.84086,0.84086,1.74769,8653,4343,93.0215,2.08533,0.62399
